Property Name,Layout,Status,Block,Price
A-26-3,TYPE B,Available,BLOCK A,798888
A-26-3A,TYPE A6,Available,BLOCK A,628888
A-26-5,TYPE B6,Hold,BLOCK A,622888
A-26-6,TYPE A,Signed,BLOCK A,750888
A-27-1,TYPE C,Hold,BLOCK A,798888
A-27-2,TYPE D,Available,BLOCK A,790888
A-27-3,TYPE B,Available,BLOCK A,798888
A-27-3A,TYPE A6,Available,BLOCK A,628888
A-27-5,TYPE B6,Hold,BLOCK A,622888
A-27-6,TYPE A,Signed,BLOCK A,750888
A-28-1,TYPE C,Hold,BLOCK A,798888
A-28-2,TYPE D,Hold,BLOCK A,790888
A-28-3,TYPE B,Available,BLOCK A,798888
A-28-3A,TYPE A7,Available,BLOCK A,628888
A-28-5,TYPE B7,Available,BLOCK A,622888
A-28-6,TYPE A,Signed,BLOCK A,750888
A-29-1,TYPE C,Signed,BLOCK A,798888
A-29-2,TYPE D,Available,BLOCK A,790888
A-29-3,TYPE B,Available,BLOCK A,798888
A-29-3A,TYPE A7,Available,BLOCK A,628888
A-29-5,TYPE B7,Hold,BLOCK A,622888
A-29-6,TYPE A,Hold,BLOCK A,750888
A-30-1,TYPE C,Signed,BLOCK A,798888
A-30-2,TYPE D,Available,BLOCK A,790888
A-30-3,TYPE B,Available,BLOCK A,798888
A-30-3A,TYPE A7,Available,BLOCK A,628888
A-30-5,TYPE B7,Signed,BLOCK A,622888
A-30-6,TYPE A,Signed,BLOCK A,750888
A-31-1,TYPE C,Available,BLOCK A,803888
A-31-2,TYPE D,Available,BLOCK A,795888
A-31-3,TYPE B,Available,BLOCK A,803888
A-31-3A,TYPE A8,Available,BLOCK A,633888
A-31-5,TYPE B8,Available,BLOCK A,627888
A-31-6,TYPE A,Hold,BLOCK A,755888
A-32-1,TYPE C,Available,BLOCK A,803888
A-32-2,TYPE D,Available,BLOCK A,795888
A-32-3,TYPE B,Available,BLOCK A,803888
A-32-3A,TYPE A8,Available,BLOCK A,633888
A-32-5,TYPE B8,Available,BLOCK A,627888
A-32-6,TYPE A,Signed,BLOCK A,755888
A-33-1,TYPE C,Available,BLOCK A,803888
A-33-2,TYPE D,Available,BLOCK A,795888
A-33-3,TYPE B,Hold,BLOCK A,803888
A-33-3A,TYPE A8,Available,BLOCK A,633888
A-33-5,TYPE B8,Available,BLOCK A,627888
A-33-6,TYPE A,Sold,BLOCK A,755888
A-33A-1,TYPE C,Available,BLOCK A,803888
A-33A-2,TYPE D,Available,BLOCK A,795888
A-33A-3,TYPE B,Available,BLOCK A,803888
A-33A-3A,TYPE A9,Available,BLOCK A,633888
A-33A-5,TYPE B9,Available,BLOCK A,627888
A-33A-6,TYPE A,Signed,BLOCK A,755888
A-35-1,TYPE C,Hold,BLOCK A,803888
A-35-2,TYPE D,Available,BLOCK A,795888
A-35-3,TYPE B,Available,BLOCK A,803888
A-35-3A,TYPE A9,Available,BLOCK A,633888
A-35-5,TYPE B9,Hold,BLOCK A,627888
A-35-6,TYPE A,Signed,BLOCK A,755888
A-36-1,TYPE C,Available,BLOCK A,808888
A-36-2,TYPE D,Available,BLOCK A,800888
A-36-3,TYPE B,Available,BLOCK A,808888
A-36-3A,TYPE A9,Available,BLOCK A,638888
A-36-5,TYPE B9,Hold,BLOCK A,632888
A-36-6,TYPE A,Hold,BLOCK A,760888
A-37-1,TYPE C,Signed,BLOCK A,808888
A-37-2,TYPE D,Available,BLOCK A,800888
A-37-3,TYPE B,Available,BLOCK A,808888
A-37-3A,TYPE A10,Available,BLOCK A,638888
A-37-5,TYPE B10,Available,BLOCK A,632888
A-37-6,TYPE A,Signed,BLOCK A,760888
A-38-1,TYPE C,Hold,BLOCK A,808888
A-38-2,TYPE D,Available,BLOCK A,800888
A-38-3,TYPE B,Available,BLOCK A,808888
A-38-3A,TYPE A10,Signed,BLOCK A,638888
A-38-5,TYPE B10,Hold,BLOCK A,632888
A-38-6,TYPE A,Signed,BLOCK A,760888
A-39-1,TYPE C,Signed,BLOCK A,808888
A-39-2,TYPE D,Available,BLOCK A,800888
A-39-3,TYPE B,Available,BLOCK A,808888
A-39-3A,TYPE A10,Available,BLOCK A,638888
A-39-5,TYPE B10,Hold,BLOCK A,632888
A-39-6,TYPE A,Signed,BLOCK A,760888
A-40-1,TYPE C,Hold,BLOCK A,808888
A-40-2,TYPE D,Available,BLOCK A,800888
A-40-3,TYPE B,Available,BLOCK A,808888
A-40-3A,TYPE A11,Available,BLOCK A,638888
A-40-5,TYPE B11,Available,BLOCK A,632888
A-40-6,TYPE A,Hold,BLOCK A,760888
A-41-1,TYPE C,Available,BLOCK A,813888
A-41-2,TYPE D,Available,BLOCK A,805888
A-41-3,TYPE B,Available,BLOCK A,813888
A-41-3A,TYPE A11,Available,BLOCK A,643888
A-41-5,TYPE B11,Available,BLOCK A,637888
A-41-6,TYPE A,Hold,BLOCK A,765888
A-42-1,TYPE C,Available,BLOCK A,813888
A-42-2,TYPE D,Available,BLOCK A,805888
A-42-3,TYPE B,Available,BLOCK A,813888
A-42-3A,TYPE A11,Available,BLOCK A,643888
A-42-5,TYPE B11,Available,BLOCK A,637888
A-42-6,TYPE A,Hold,BLOCK A,765888
A-43-1,TYPE C,Available,BLOCK A,813888
A-43-2,TYPE D,Available,BLOCK A,805888
A-43-3,TYPE B,Available,BLOCK A,813888
A-43-3A,TYPE A12,Available,BLOCK A,643888
A-43-5,TYPE B12,Available,BLOCK A,637888
A-43-6,TYPE A,Available,BLOCK A,765888
A-43A-1,TYPE C,Available,BLOCK A,813888
A-43A-2,TYPE D,Available,BLOCK A,805888
A-43A-3,TYPE B,Available,BLOCK A,813888
A-43A-3A,TYPE A12,Available,BLOCK A,643888
A-43A-5,TYPE B12,Available,BLOCK A,637888
A-43A-6,TYPE A,Available,BLOCK A,765888
A-45-1,TYPE C,Available,BLOCK A,813888
A-45-2,TYPE D,Available,BLOCK A,805888
A-45-3,TYPE B,Available,BLOCK A,813888
A-45-3A,TYPE A12,Hold,BLOCK A,643888
A-45-5,TYPE B12,Available,BLOCK A,637888
A-45-6,TYPE A,Available,BLOCK A,765888
A-46-1,TYPE C,Available,BLOCK A,818888
A-46-2,TYPE D,Available,BLOCK A,810888
A-46-3,TYPE B,Available,BLOCK A,818888
A-46-3A,TYPE A13,Available,BLOCK A,648888
A-46-5,TYPE B13,Available,BLOCK A,642888
A-46-6,TYPE A,Hold,BLOCK A,770888
A-47-1,TYPE C,Available,BLOCK A,818888
A-47-2,TYPE D,Available,BLOCK A,810888
A-47-3,TYPE B,Available,BLOCK A,818888
A-47-3A,TYPE A13,Available,BLOCK A,648888
A-47-5,TYPE B13,Available,BLOCK A,642888
A-47-6,TYPE A,Available,BLOCK A,770888
A-48-1,TYPE C,Signed,BLOCK A,818888
A-48-2,TYPE D,Hold,BLOCK A,810888
A-48-3,TYPE B,Available,BLOCK A,818888
A-48-3A,TYPE A13,Available,BLOCK A,648888
A-48-5,TYPE B13,Available,BLOCK A,642888
A-48-6,TYPE A,Available,BLOCK A,770888
A-49-1,TYPE C,Available,BLOCK A,818888
A-49-2,TYPE D,Available,BLOCK A,810888
A-49-3,TYPE B,Available,BLOCK A,818888
A-49-3A,TYPE A14,Available,BLOCK A,648888
A-49-5,TYPE B14,Available,BLOCK A,642888
A-49-6,TYPE A,Available,BLOCK A,770888
A-50-1,TYPE C,Available,BLOCK A,818888
A-50-2,TYPE D,Available,BLOCK A,810888
A-50-3,TYPE B,Available,BLOCK A,818888
A-50-3A,TYPE A14,Available,BLOCK A,648888
A-50-5,TYPE B14,Available,BLOCK A,642888
A-50-6,TYPE A,Hold,BLOCK A,770888
A-51-1,TYPE C,Signed,BLOCK A,823888
A-51-2,TYPE D,Available,BLOCK A,815888
A-51-3,TYPE B,Available,BLOCK A,823888
